breed_id,Breed,height_low,height_high,weight_low,weight_high,height_class,weight_class,adult_cal_intake_low,adult_cal_intake_high,intelligence_desc,obey_perc,training_reps_low,training_reps_high,intelligence_class,adaptability_class,general_friendliness_class,apartment_living_class,family_affectionate_class,shedding_amount_class,dog_friendly_class,drooling_potential_class,ease_of_grooming_class,energy_level_class,exercise_needs_class,friendly_toward_strangers_class,general_health_class,good_for_novice_owners,incredibly_kid_friendly_class,intensity_class,potential_for_mouthiness_class,potential_for_playfulness_class,potential_for_weight_gain_class,prey_drive_class,sensitivity_class,size_class,tendency_to_bark_or_howl_class,tolerates_being_alone_class,tolerates_cold_weather_class,tolerates_hot_weather_class,wanderlust_potential_class,watchdog_class,type_of_dog,average_lifespan,genetic_conditions,genetic_diseases,lifetime_cost_class,average_lifespan_class,average_purchase_price_class,popularity_class
1,Akita,66,72,36,55,2,3,1481,2488,Average Working/Obedience Intelligence,0.5,26,40,3,3,2,2,5,5,1,5,1,4,4,2,4,2,1,3,3,5,4,4,5,4,5,1,5,2,4,5,working,10.16,hip problems,hip dysplasia,3,2,2,4
2,Bernese Mountain Dog,58,69,38,50,2,3,1542,2316,Excellent Working Dogs,0.85,5,15,5,2,5,1,5,5,3,4,3,4,3,5,1,2,5,3,5,4,4,5,4,5,4,1,5,1,3,5,working,7.56,"meningitis, elbow + hip problems, complex immune disorder","Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis",2,1,2,5
3,Bloodhound,60,67,36,55,2,3,1481,2488,Lowest Degree of Working/Obedience Intelligence,0,81,100,1,3,5,1,5,4,5,5,1,5,5,5,3,2,5,4,5,3,3,3,4,4,4,2,3,3,5,1,hound,6.75,"fatal stomach bloat, skin problems","Gastric dilatation-volvulus, Hip dysplasia",1,1,1,4
4,Borzoi,66,72,31,46,2,3,1324,2176,Lowest Degree of Working/Obedience Intelligence,0,81,100,1,4,4,5,4,5,4,1,4,2,2,4,4,3,3,2,3,3,2,5,5,5,2,1,4,3,4,1,hound,9.08,none,none,2,2,1,2
5,Bullmastiff,63,69,45,59,2,4,1751,2622,Fair Working/Obedience Intelligence,0.3,41,80,2,3,4,3,5,1,4,5,5,2,3,3,2,2,5,4,3,5,5,3,4,5,4,2,4,2,3,5,working,7.57,"eye, hip problems","Entropion, Hip dysplasia",1,1,2,4
6,Great Dane,81,82,54,73,3,4,2007,3076,Average Working/Obedience Intelligence,0.5,26,40,3,2,5,1,5,5,5,4,5,5,5,5,4,1,5,5,2,5,2,3,5,5,4,1,2,3,3,5,working,6.96,"heart, spinal, hip problems, fatal stomach bloat","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia",1,1,2,5
7,Great Pyrenees,68,82,43,55,3,3,1692,2488,Fair Working/Obedience Intelligence,0.3,41,80,2,3,4,1,5,5,4,2,4,5,5,3,2,1,4,5,2,4,4,5,4,5,5,3,5,3,5,5,working,10,hip problems,hip dysplasia,5,2,1,3
8,Irish Wolfhound,71,89,40,69,3,4,1603,2949,Average Working/Obedience Intelligence,0.5,26,40,3,2,5,1,5,3,5,1,3,2,4,5,1,2,5,2,3,4,3,5,3,5,1,2,4,2,3,3,hound,6.94,"heart, liver, hip problems","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt",3,1,2,3
9,Mastiff,68,77,79,87,3,5,2671,3509,Lowest Degree of Working/Obedience Intelligence,0,81,100,1,2,4,2,5,3,2,5,3,3,4,2,3,1,5,3,4,4,4,2,3,5,2,3,4,1,1,5,working,6.5,"hip, heart problems","Hip dysplasia, Pulmonic stenosis",1,1,1,5
10,Rottweiler,55,69,40,50,2,3,1603,2316,Brightest Dogs,0.95,1,4,5,2,4,2,5,4,2,4,5,4,4,4,2,1,4,4,3,5,5,4,4,3,4,1,2,3,2,5,working,9.11,"heart, elbow, hip problems","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia",3,2,2,5
